,Participant,protocol,device,D,ID,W,tau,Dtau,sigma0,omega,C,rsq,pvptype
411,642382.0,pvp,controller,133.0,6.658211482751796,1.33,0.9,28.22491065745292,10.54028544804715,3.734912413659424,1.6499266799123866,0.9057775514832784,det
412,642382.0,pvp,controller,64.6,5.631436930520657,1.33,0.61,11.36325851795111,10.9649026372783,3.1536713294123744,1.7903146215559471,0.929678205042852,det
413,642382.0,pvp,controller,41.8,5.01919356523331,1.33,0.63,1.7777357365719562,9.446754589189425,3.293941061239474,1.5430093068712882,0.9352595826339144,det
414,642382.0,fitts,controller,110.2,3.7958592832197744,8.55,0.65,36.60942878156835,15.474937338228711,1.604785811966711,2.85987583417848,0.9774869071995804,det
415,642382.0,fitts,controller,19.0,1.3856536924977498,11.78,0.33,2.093554681786995,7.569942959300048,1.0263601836573109,2.1463842496520624,0.9594915165770036,det
416,642382.0,fitts,controller,64.6,5.27715822476734,1.71,0.52,19.35546269031525,10.821411807379825,2.36014449354045,1.971530928314715,0.8764923484804673,det
417,642382.0,fitts,controller,41.8,2.938599455335857,6.2700000000000005,0.56,3.9772704317964926,8.124522426574124,1.816074927491242,1.9829959917464477,0.9495215197847936,det
418,642382.0,fitts,controller,87.4,4.655954332292595,3.61,0.54,32.507679428322895,11.4445865952992,2.1668350524794326,2.095716400507925,0.9806941470448916,det
419,642382.0,fitts,controller,133.0,6.658211482751796,1.33,0.6900000000000001,51.33843620482797,12.721432063832486,3.177075996845893,1.7898040768186312,0.911495731039118,det
420,642382.0,pvp,touchpad,19.0,3.934112064343543,1.33,0.34,10.83675858993947,2.973195630372505,1.0166251279545089,4.678120366337266,0.9619448483732468,det
421,642382.0,pvp,touchpad,87.4,6.0599238176520585,1.33,0.44,8.728624843699551,19.7823918913252,1.4256686404587642,6.658585606325402,0.9853116287041396,det
422,642382.0,pvp,touchpad,133.0,6.658211482751796,1.33,0.44,19.428632781220436,21.162243730891188,1.6124805573470706,5.505651320716704,0.9921916736671984,det
423,642382.0,pvp,touchpad,64.6,5.631436930520657,1.33,0.43,18.157491814250758,8.777918856701147,1.3233595376835765,5.785254609447761,0.9755489270110334,det
424,642382.0,pvp,touchpad,41.8,5.01919356523331,1.33,0.37,23.698261695091794,5.809539905362686,1.0848458598763964,6.597143625715493,0.9515155804321244,det
425,642382.0,pvp,touchpad,110.2,6.389861771052448,1.33,0.39,60.94764869070681,15.209683818355328,1.625396747014428,5.239019031033437,0.993244799500529,det
426,642382.0,pvp,mouse,133.0,6.658211482751796,1.33,0.33,44.831052909226806,17.39370194377984,1.852811024266953,3.376986420523197,0.8642554709975228,det
427,642382.0,pvp,mouse,64.6,5.631436930520657,1.33,0.37,9.170015477031557,10.168510223567148,1.1977162427930643,6.563173070316381,0.9926194563721682,det
428,642382.0,pvp,mouse,41.8,5.01919356523331,1.33,0.34,12.536586956476096,5.381641133030475,1.185278592808561,5.448153601640069,0.969774022321885,det
429,642382.0,pvp,mouse,87.4,6.0599238176520585,1.33,0.35,29.99596042032256,10.92927794657976,1.347391927044872,5.282156892333104,0.99370630821495,det
430,642382.0,pvp,mouse,110.2,6.389861771052448,1.33,0.34,44.8991876944763,12.854113372143829,1.352373640993496,5.577022247543139,0.9891060941480316,det
431,642382.0,pvp,mouse,19.0,3.934112064343543,1.33,0.35,6.70723403734487,4.059852719038108,1.3134113303551904,4.2001130198217504,0.9773822989580424,det
432,587783.0,pvp,mouse,19.0,3.934112064343543,1.33,0.28,8.525242085876378,7.460263471387003,1.49655400470623,4.212309800991799,0.968306766986442,Project
433,587783.0,pvp,mouse,41.8,5.01919356523331,1.33,0.26,19.577859430036757,8.21517635446915,1.687198863527563,4.128967391579896,0.9779122449582645,Project
434,587783.0,pvp,mouse,87.4,6.0599238176520585,1.33,0.27,42.42983519628704,14.135293103427346,1.5227684560599657,4.792941241379571,0.9768453172690832,Project
435,587783.0,pvp,mouse,64.6,5.631436930520657,1.33,0.29,23.40073101874244,16.71735989869705,1.6050504625844848,4.626875394932046,0.9842154733199412,Project
436,587783.0,pvp,mouse,110.2,6.389861771052448,1.33,0.28,50.59898286878887,22.768520750947523,1.6848538908073418,4.518497239373685,0.983781376155736,Project
437,587783.0,pvp,mouse,133.0,6.658211482751796,1.33,0.26,79.87842993904675,20.45089388713305,1.6656522668236855,4.154410543310214,0.9703502433678002,Project
438,587783.0,pvp,touchpad,41.8,5.01919356523331,1.33,0.43,26.725049790933404,11.514288696213391,1.9323591527401185,3.4647747414916847,0.940255411462213,Project
439,587783.0,pvp,touchpad,19.0,3.934112064343543,1.33,0.4,11.583924374873604,5.311960032319004,1.3830023158761562,3.885246073247092,0.9635524480169548,Project
440,587783.0,pvp,touchpad,133.0,6.658211482751796,1.33,0.36,58.97087728180725,38.59191266031279,1.924164827551313,4.421043033907197,0.9824870738159314,Project
441,587783.0,pvp,touchpad,87.4,6.0599238176520585,1.33,0.34,49.80318329010255,25.646347840715663,1.664024220190368,5.169857175636038,0.9799514111212168,Project
442,587783.0,pvp,touchpad,64.6,5.631436930520657,1.33,0.34,35.507425972057284,20.84095603260784,1.7144728044201014,4.977214347162291,0.9652628737831744,Project
443,587783.0,pvp,touchpad,110.2,6.389861771052448,1.33,0.35,56.99963028901772,38.96619608844714,1.9163622701447016,4.651051820930566,0.9908304216471772,Project
444,587783.0,fitts,controller,87.4,4.655954332292595,3.61,1.08,22.350779187680292,23.695910241067345,3.53753770585124,1.9110487357149997,0.9184611972336636,Project
445,587783.0,fitts,controller,41.8,2.938599455335857,6.2700000000000005,0.76,18.192766611199605,14.000731534695914,2.2662683697474764,2.329262880644518,0.985319152093018,Project
446,587783.0,fitts,controller,133.0,6.658211482751796,1.33,1.08,27.34649607740981,22.958890651340987,4.035531457261814,1.8974412971117005,0.976849813517636,Project
447,587783.0,fitts,controller,64.6,5.27715822476734,1.71,0.78,32.59632793129636,18.656647360873496,3.438804100729418,2.154030118485457,0.9907332942715426,Project
448,587783.0,fitts,controller,110.2,3.7958592832197744,8.55,0.86,31.8539816645514,24.121479302253288,2.5274090886406486,2.612394294536038,0.9416833809728044,Project
